game_pk,date,away_team,away_score,home_score,home_team
718780,2023-03-30,Atlanta Braves,7,2,Washington Nationals
718781,2023-03-30,San Francisco Giants,0,5,New York Yankees
718782,2023-03-30,Baltimore Orioles,10,9,Boston Red Sox
718777,2023-03-30,Milwaukee Brewers,0,4,Chicago Cubs
718776,2023-03-30,Detroit Tigers,0,4,Tampa Bay Rays
718779,2023-03-30,Philadelphia Phillies,7,11,Texas Rangers
718773,2023-03-30,Pittsburgh Pirates,5,4,Cincinnati Reds
718772,2023-03-30,Toronto Blue Jays,10,9,St. Louis Cardinals
718775,2023-03-30,Minnesota Twins,2,0,Kansas City Royals
718774,2023-03-30,New York Mets,5,3,Miami Marlins
718768,2023-03-30,Chicago White Sox,3,2,Houston Astros
718778,2023-03-30,Colorado Rockies,7,2,San Diego Padres
718769,2023-03-30,Los Angeles Angels,1,2,Oakland Athletics
718770,2023-03-30,Arizona Diamondbacks,2,8,Los Angeles Dodgers
718767,2023-03-30,Cleveland Guardians,0,3,Seattle Mariners
718771,2023-03-31,New York Mets,1,2,Miami Marlins
718764,2023-03-31,Chicago White Sox,3,6,Houston Astros
718766,2023-03-31,Colorado Rockies,4,1,San Diego Padres
718765,2023-03-31,Arizona Diamondbacks,2,1,Los Angeles Dodgers
718763,2023-03-31,Cleveland Guardians,9,4,Seattle Mariners
718760,2023-04-01,Chicago White Sox,4,6,Houston Astros
718759,2023-04-01,Toronto Blue Jays,1,4,St. Louis Cardinals
718758,2023-04-01,Milwaukee Brewers,3,1,Chicago Cubs
718752,2023-04-01,Philadelphia Phillies,3,16,Texas Rangers
718753,2023-04-01,Atlanta Braves,7,1,Washington Nationals
718762,2023-04-01,San Francisco Giants,7,5,New York Yankees
718757,2023-04-01,Los Angeles Angels,13,1,Oakland Athletics
718761,2023-04-01,Baltimore Orioles,8,9,Boston Red Sox
718756,2023-04-01,Pittsburgh Pirates,2,6,Cincinnati Reds
718754,2023-04-01,Detroit Tigers,2,12,Tampa Bay Rays
718751,2023-04-01,Minnesota Twins,2,0,Kansas City Royals
718755,2023-04-01,New York Mets,6,2,Miami Marlins
718750,2023-04-01,Colorado Rockies,4,8,San Diego Padres
718749,2023-04-01,Arizona Diamondbacks,1,10,Los Angeles Dodgers
718746,2023-04-01,Cleveland Guardians,2,0,Seattle Mariners
718742,2023-04-02,Detroit Tigers,1,5,Tampa Bay Rays
718748,2023-04-02,Baltimore Orioles,5,9,Boston Red Sox
718743,2023-04-02,Atlanta Braves,1,4,Washington Nationals
718747,2023-04-02,San Francisco Giants,0,6,New York Yankees
718744,2023-04-02,Pittsburgh Pirates,1,3,Cincinnati Reds
718741,2023-04-02,New York Mets,5,1,Miami Marlins
718745,2023-04-02,Minnesota Twins,7,4,Kansas City Royals
718740,2023-04-02,Chicago White Sox,6,3,Houston Astros
718737,2023-04-02,Toronto Blue Jays,4,9,St. Louis Cardinals
718738,2023-04-02,Milwaukee Brewers,9,5,Chicago Cubs
718734,2023-04-02,Los Angeles Angels,6,0,Oakland Athletics
718736,2023-04-02,Arizona Diamondbacks,2,1,Los Angeles Dodgers
718733,2023-04-02,Colorado Rockies,1,3,San Diego Padres
718735,2023-04-02,Cleveland Guardians,6,5,Seattle Mariners
718739,2023-04-02,Philadelphia Phillies,1,2,Texas Rangers
718731,2023-04-03,New York Mets,0,10,Milwaukee Brewers
718730,2023-04-03,San Francisco Giants,12,3,Chicago White Sox
718728,2023-04-03,Chicago Cubs,6,7,Cincinnati Reds
718729,2023-04-03,Minnesota Twins,11,1,Miami Marlins
718732,2023-04-03,Tampa Bay Rays,6,2,Washington Nationals
718725,2023-04-03,Philadelphia Phillies,1,8,New York Yankees
718724,2023-04-03,Pittsburgh Pirates,7,6,Boston Red Sox
718719,2023-04-03,Toronto Blue Jays,5,9,Kansas City Royals
718727,2023-04-03,Atlanta Braves,8,4,St. Louis Cardinals
718726,2023-04-03,Baltimore Orioles,2,0,Texas Rangers
718723,2023-04-03,Detroit Tigers,7,6,Houston Astros
718721,2023-04-03,Cleveland Guardians,12,11,Oakland Athletics
718722,2023-04-03,Arizona Diamondbacks,4,5,San Diego Padres
718720,2023-04-03,Los Angeles Angels,7,3,Seattle Mariners
718718,2023-04-03,Colorado Rockies,4,13,Los Angeles Dodgers
718717,2023-04-04,Arizona Diamondbacks,8,6,San Diego Padres
718716,2023-04-04,Chicago Cubs,12,5,Cincinnati Reds
718714,2023-04-04,Minnesota Twins,0,1,Miami Marlins
718715,2023-04-04,Tampa Bay Rays,10,6,Washington Nationals
718710,2023-04-04,Philadelphia Phillies,4,1,New York Yankees
718713,2023-04-04,Pittsburgh Pirates,4,1,Boston Red Sox
718708,2023-04-04,Toronto Blue Jays,4,1,Kansas City Royals
718712,2023-04-04,New York Mets,0,9,Milwaukee Brewers
